DATA_ID,PRED_ID,LOC_ID,STA_ID,STA_NUM,STA_NAME,STA_TYPE,COORD_DATA_SOURCE,TIME_ZONE,START_STAT_LAT,START_STAT_LONG,START_STAT_DEP,START_STAT_SAMP_DEP,START_YEAR,START_MON,START_DAY,START_TIME,START_SEAS,END_STAT_LAT,END_STAT_LONG,END_STAT_DEP,END_STAT_SAMP_DEP,END_YEAR,END_MON,END_DAY,END_TIME,END_SEAS,REALM,PROVINCE,ECOREGION,HAB_SYSTEM,HAB_SUBSYSTEM,TIDAL_ZONE,SYS_CONF,STA_NOTES,ENTRY_DATE,ENTRY_PERSON,EDITED_DATE,DATA_EDITOR,MODIFY_DATE,DATA_MODIFIER
ACT_6G,Cfab.29,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,71,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.30,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,72,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.31,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,73,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.32,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,74,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.33,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,75,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.34,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,76,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.35,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,77,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.36,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,78,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.37,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,79,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.38,,,,P296B,,,,NA,NA,NA,NA,1978,3,13,811,,NA,NA,NA,NA,1978,3,13,841,,TNA,WTNA,80,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.39,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,81,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.40,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,82,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.41,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,83,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.42,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,84,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.43,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,85,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.44,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,86,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.45,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,87,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.46,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,88,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
ACT_6G,Cfab.47,,,,S 288-5,,,,NA,NA,NA,NA,1978,3,15,1207,,NA,NA,NA,NA,1978,3,15,1222,,TNA,WTNA,89,Marine,Nearshore,Subtidal,NA,,06/14/17,Michelle Abascal,10/07/17,James Simons,,
